air_temp,albedo,azimuth,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,zenith,period_end,period
11,0.18,18,48,7,0,0,0,0,0,77.6,1018.2,6.1,111,2019-05-01T00:15:00+02:00,PT15M
11,0.18,14,47.2,6.9,0,0,0,0,0,78.1,1018.1,6.2,112,2019-05-01T00:30:00+02:00,PT15M
10,0.18,11,47.5,6.9,0,0,0,0,0,78.7,1018.1,6.2,112,2019-05-01T00:45:00+02:00,PT15M
10,0.18,7,48.3,6.8,0,0,0,0,0,79.2,1018,6.3,113,2019-05-01T01:00:00+02:00,PT15M
10,0.18,3,48.4,6.8,0,0,0,0,0,79.9,1018,6.3,113,2019-05-01T01:15:00+02:00,PT15M
10,0.18,-1,48.4,6.8,0,0,0,0,0,80.8,1018,6.2,113,2019-05-01T01:30:00+02:00,PT15M
10,0.18,-5,48.4,6.8,0,0,0,0,0,81.8,1017.9,6.1,113,2019-05-01T01:45:00+02:00,PT15M
10,0.18,-9,49.1,6.8,0,0,0,0,0,82.8,1017.9,6,112,2019-05-01T02:00:00+02:00,PT15M
9,0.17,-13,50.7,6.8,0,0,0,0,0,83.6,1017.9,5.8,112,2019-05-01T02:15:00+02:00,PT15M
9,0.17,-17,50.7,6.8,0,0,0,0,0,84.3,1017.8,5.6,111,2019-05-01T02:30:00+02:00,PT15M
9,0.17,-21,50.7,6.8,0,0,0,0,0,85,1017.7,5.4,111,2019-05-01T02:45:00+02:00,PT15M
9,0.17,-24,50.7,6.8,0,0,0,0,0,85.7,1017.6,5.2,110,2019-05-01T03:00:00+02:00,PT15M
9,0.17,-28,50.7,6.8,0,0,0,0,0,86.2,1017.4,5.1,109,2019-05-01T03:15:00+02:00,PT15M
9,0.17,-32,50.7,6.8,0,0,0,0,0,86.3,1017.2,5,108,2019-05-01T03:30:00+02:00,PT15M
9,0.17,-35,50.7,6.7,0,0,0,0,0,86.5,1017.1,5,106,2019-05-01T03:45:00+02:00,PT15M
9,0.17,-39,50.7,6.7,0,0,0,0,0,86.6,1016.9,4.9,105,2019-05-01T04:00:00+02:00,PT15M
9,0.17,-42,50.7,6.7,0,0,0,0,0,86.9,1016.8,4.9,104,2019-05-01T04:15:00+02:00,PT15M
9,0.17,-46,53.9,6.7,0,0,0,0,0,87.3,1016.7,4.9,102,2019-05-01T04:30:00+02:00,PT15M
