air_temp,albedo,azimuth,dni,ghi,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,zenith,period_end,period
4,0.18,-12,0,0,0,94.5,1008.4,6.3,112,2015-05-01T00:05:00Z,PT5M
4,0.18,-13,0,0,0,94.5,1008.4,6.3,112,2015-05-01T00:10:00Z,PT5M
4,0.18,-14,0,0,0,94.5,1008.3,6.3,112,2015-05-01T00:15:00Z,PT5M
4,0.18,-16,0,0,0,94.5,1008.3,6.4,112,2015-05-01T00:20:00Z,PT5M
4,0.18,-17,0,0,0,94.5,1008.3,6.4,111,2015-05-01T00:25:00Z,PT5M
4,0.18,-18,0,0,0,94.5,1008.2,6.5,111,2015-05-01T00:30:00Z,PT5M
4,0.18,-19,0,0,0,94.5,1008.2,6.5,111,2015-05-01T00:35:00Z,PT5M
4,0.18,-21,0,0,0,94.5,1008.1,6.5,111,2015-05-01T00:40:00Z,PT5M
4,0.18,-22,0,0,0,94.5,1008.1,6.6,110,2015-05-01T00:45:00Z,PT5M
4,0.18,-23,0,0,0,94.5,1008.1,6.6,110,2015-05-01T00:50:00Z,PT5M
4,0.18,-24,0,0,0,94.5,1008,6.6,110,2015-05-01T00:55:00Z,PT5M
4,0.18,-26,0,0,0,94.5,1008,6.7,109,2015-05-01T01:00:00Z,PT5M
4,0.18,-27,0,0,0,94.5,1007.9,6.7,109,2015-05-01T01:05:00Z,PT5M
4,0.18,-28,0,0,0,94.5,1007.9,6.7,109,2015-05-01T01:10:00Z,PT5M
4,0.18,-29,0,0,0,94.5,1007.9,6.7,108,2015-05-01T01:15:00Z,PT5M
4,0.18,-31,0,0,0,94.5,1007.9,6.7,108,2015-05-01T01:20:00Z,PT5M
4,0.18,-32,0,0,0,94.5,1007.8,6.7,108,2015-05-01T01:25:00Z,PT5M
4,0.18,-33,0,0,0,94.5,1007.8,6.6,107,2015-05-01T01:30:00Z,PT5M
4,0.18,-34,0,0,0,94.5,1007.8,6.6,107,2015-05-01T01:35:00Z,PT5M
4,0.18,-35,0,0,0,94.5,1007.8,6.6,106,2015-05-01T01:40:00Z,PT5M
4,0.18,-36,0,0,0,94.5,1007.7,6.6,106,2015-05-01T01:45:00Z,PT5M
4,0.18,-38,0,0,0,94.5,1007.7,6.6,105,2015-05-01T01:50:00Z,PT5M
4,0.18,-39,0,0,0,94.5,1007.7,6.6,105,2015-05-01T01:55:00Z,PT5M
4,0.18,-40,0,0,0,94.5,1007.7,6.6,105,2015-05-01T02:00:00Z,PT5M
4,0.18,-41,0,0,0,94.5,1007.6,6.6,104,2015-05-01T02:05:00Z,PT5M
4,0.18,-42,0,0,0,94.6,1007.6,6.6,104,2015-05-01T02:10:00Z,PT5M
4,0.18,-43,0,0,0,94.7,1007.6,6.6,103,2015-05-01T02:15:00Z,PT5M
4,0.18,-44,0,0,0,94.7,1007.6,6.6,102,2015-05-01T02:20:00Z,PT5M
4,0.18,-46,0,0,0,94.8,1007.6,6.6,102,2015-05-01T02:25:00Z,PT5M
4,0.18,-47,0,0,0,94.8,1007.6,6.6,101,2015-05-01T02:30:00Z,PT5M
4,0.18,-48,0,0,0,94.9,1007.6,6.6,101,2015-05-01T02:35:00Z,PT5M
4,0.18,-49,0,0,0,94.9,1007.6,6.7,100,2015-05-01T02:40:00Z,PT5M
4,0.18,-50,0,0,0,95,1007.6,6.7,100,2015-05-01T02:45:00Z,PT5M
4,0.18,-51,0,0,0,95,1007.6,6.7,99,2015-05-01T02:50:00Z,PT5M
4,0.18,-52,0,0,0,95.1,1007.6,6.7,99,2015-05-01T02:55:00Z,PT5M
4,0.18,-53,0,0,0,95.2,1007.6,6.7,98,2015-05-01T03:00:00Z,PT5M
4,0.18,-54,0,0,0,95.2,1007.6,6.7,97,2015-05-01T03:05:00Z,PT5M
4,0.18,-55,0,0,0,95.3,1007.6,6.7,97,2015-05-01T03:10:00Z,PT5M
4,0.18,-56,0,0,0,95.3,1007.6,6.7,96,2015-05-01T03:15:00Z,PT5M
4,0.18,-57,0,0,0,95.4,1007.6,6.7,95,2015-05-01T03:20:00Z,PT5M
4,0.18,-58,0,0,0,95.4,1007.5,6.7,95,2015-05-01T03:25:00Z,PT5M
4,0.18,-59,0,0,0,95.5,1007.5,6.6,94,2015-05-01T03:30:00Z,PT5M
4,0.18,-60,0,0,0,95.5,1007.5,6.6,93,2015-05-01T03:35:00Z,PT5M
4,0.18,-61,0,0,0,95.6,1007.5,6.6,93,2015-05-01T03:40:00Z,PT5M
4,0.18,-62,0,0,0,95.7,1007.4,6.6,92,2015-05-01T03:45:00Z,PT5M
