air_temp,albedo,azimuth,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,zenith,period_end,period
12,0.17,20,0,9.6,0,0,0,0,22.7,0,85,1008,7.3,128,2019-10-01T00:15:00+02:00,PT15M
12,0.17,15,0,9.7,0,0,0,0,22.9,0,85.8,1007.9,7.2,129,2019-10-01T00:30:00+02:00,PT15M
12,0.17,11,0,9.7,0,0,0,0,23.1,0,86.5,1007.8,7.1,129,2019-10-01T00:45:00+02:00,PT15M
12,0.17,6,0,9.8,0,0,0,0,23.3,0,87.2,1007.7,7,130,2019-10-01T01:00:00+02:00,PT15M
12,0.17,1,0,9.8,0,0,0,0,23.7,0,87.6,1007.6,6.9,130,2019-10-01T01:15:00+02:00,PT15M
12,0.17,-4,0,9.9,0,0,0,0,24.2,0,87.8,1007.5,6.8,130,2019-10-01T01:30:00+02:00,PT15M
12,0.17,-9,0,9.9,0,0,0,0,24.8,0,87.9,1007.3,6.7,130,2019-10-01T01:45:00+02:00,PT15M
12,0.17,-14,9.1,10,0,0,0,0,25.4,0,88.1,1007.2,6.7,129,2019-10-01T02:00:00+02:00,PT15M
12,0.15,-18,24.5,10,0,0,0,0,26,0.2,88.1,1007,6.6,128,2019-10-01T02:15:00+02:00,PT15M
12,0.15,-23,24.7,10,0,0,0,0,26.6,0.2,88.2,1006.8,6.5,128,2019-10-01T02:30:00+02:00,PT15M
12,0.15,-28,24.7,10.1,0,0,0,0,27.3,0.2,88.2,1006.6,6.5,127,2019-10-01T02:45:00+02:00,PT15M
12,0.15,-32,22.9,10.1,0,0,0,0,28,0.2,88.2,1006.4,6.5,126,2019-10-01T03:00:00+02:00,PT15M
12,0.15,-36,18.5,10.2,0,0,0,0,28.5,0.8,88.7,1006.1,6.4,124,2019-10-01T03:15:00+02:00,PT15M
12,0.15,-40,17.4,10.3,0,0,0,0,29,0.8,89.9,1005.7,6.2,123,2019-10-01T03:30:00+02:00,PT15M
12,0.15,-45,17.4,10.5,0,0,0,0,29.4,0.8,91.1,1005.4,6.1,121,2019-10-01T03:45:00+02:00,PT15M
12,0.15,-48,17.4,10.6,0,0,0,0,29.9,0.8,92.4,1005.1,6,120,2019-10-01T04:00:00+02:00,PT15M
12,0.15,-52,17.4,10.8,0,0,0,0,30.2,1.4,93.3,1004.8,6.1,118,2019-10-01T04:15:00+02:00,PT15M
12,0.15,-56,17.4,10.9,0,0,0,0,30.5,1.4,93.9,1004.4,6.2,116,2019-10-01T04:30:00+02:00,PT15M
12,0.15,-59,17.4,11,0,0,0,0,30.7,1.4,94.5,1004.1,6.3,114,2019-10-01T04:45:00+02:00,PT15M
12,0.15,-63,48.8,11.1,0,0,0,0,30.9,1.4,95.2,1003.7,6.5,112,2019-10-01T05:00:00+02:00,PT15M
12,0.15,-66,95.2,11.1,0,0,0,0,31.1,1.9,95.6,1003.3,6.6,110,2019-10-01T05:15:00+02:00,PT15M
12,0.15,-70,95.2,11.1,0,0,0,0,31.2,1.9,95.7,1002.9,6.6,108,2019-10-01T05:30:00+02:00,PT15M
12,0.15,-73,93.2,11.2,0,0,0,0,31.4,1.9,95.9,1002.5,6.6,106,2019-10-01T05:45:00+02:00,PT15M
12,0.15,-76,89.3,11.2,0,0,0,0,31.5,1.9,96,1002.1,6.7,104,2019-10-01T06:00:00+02:00,PT15M
12,0.15,-79,91.7,11.2,0,0,0,0,31.7,1.9,96.1,1001.8,6.6,101,2019-10-01T06:15:00+02:00,PT15M
12,0.15,-82,95,11.3,0,0,0,0,31.9,1.9,96.1,1001.5,6.4,99,2019-10-01T06:30:00+02:00,PT15M
12,0.15,-85,96,11.3,0,0,0,0,32.1,1.9,96.1,1001.2,6.3,97,2019-10-01T06:45:00+02:00,PT15M
12,0.15,-88,94.8,11.4,0,0,0,0,32.3,1.9,96.1,1000.9,6.1,95,2019-10-01T07:00:00+02:00,PT15M
12,0.15,-91,88.5,11.4,0,0,0,0,32.4,3.7,95.9,1000.7,5.9,92,2019-10-01T07:15:00+02:00,PT15M
12,0.15,-94,80.3,11.4,0,0,0,0,32.3,3.7,95.4,1000.5,5.8,90,2019-10-01T07:30:00+02:00,PT15M
12,0.15,-97,81.4,11.5,3,0,3,3,32.3,3.7,94.9,1000.2,5.7,88,2019-10-01T07:45:00+02:00,PT15M
12,0.15,-100,78.8,11.5,8,0,8,8,32.3,3.7,94.5,1000,5.7,86,2019-10-01T08:00:00+02:00,PT15M
12,0.15,-103,76.2,11.5,15,0,15,15,32.2,1.6,94.2,999.8,5.7,83,2019-10-01T08:15:00+02:00,PT15M
13,0.15,-106,75.6,11.6,23,0,23,22,32.2,1.6,94,999.6,5.9,81,2019-10-01T08:30:00+02:00,PT15M
