Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-10-01T00:00+02:00,9076.33,17944.11,21685.66,33.09
2019-10-01T01:00+02:00,9079.53,17631.72,20895.13,31.58
2019-10-01T02:00+02:00,9136.78,17216.07,20158.99,30.04
2019-10-01T03:00+02:00,9135.8,17365.63,20370.5,30.2
2019-10-01T04:00+02:00,9128.36,18082.07,21061.39,30.13
2019-10-01T05:00+02:00,9156.79,19857.18,22107.67,33.01
2019-10-01T06:00+02:00,9143.77,21383.75,24199.92,47.47
2019-10-01T07:00+02:00,9238.47,23171.97,26111.53,50.98
2019-10-01T08:00+02:00,9253.53,23594,29653.35,51.05
2019-10-01T09:00+02:00,9234.2,23670.55,33531.56,49.63
2019-10-01T10:00+02:00,9216.37,23987.26,37564.4,46.86
2019-10-01T11:00+02:00,9197.7,24206.96,40590.66,44.92
2019-10-01T12:00+02:00,9190.6,23585.81,41456.34,42.17
2019-10-01T13:00+02:00,9182.94,23251.5,40661.11,41.04
2019-10-01T14:00+02:00,9161.13,23206.15,38822.17,39.49
2019-10-01T15:00+02:00,9160.52,22902.18,35579.35,39.38
2019-10-01T16:00+02:00,9148.62,22999.31,31842.33,42.88
2019-10-01T17:00+02:00,9136.37,23137.19,27494.82,48.6
2019-10-01T18:00+02:00,9161.8,23773.01,23497.32,50.16
2019-10-01T19:00+02:00,9154.7,23856.34,22478.92,54.99
2019-10-01T20:00+02:00,9120.6,23504.79,21453.35,52.92
2019-10-01T21:00+02:00,9129.24,23298.57,20051.07,50.02
2019-10-01T22:00+02:00,9139.14,22391.28,19058.36,45.06
2019-10-01T23:00+02:00,9129.33,20931.85,19452.05,35.53
2019-10-02T00:00+02:00,9127.18,19984.83,20398.24,33.49
2019-10-02T01:00+02:00,9034.61,19027.58,20957.51,31.92
2019-10-02T02:00+02:00,9016.66,18725.42,21465.85,32.39
2019-10-02T03:00+02:00,9003.1,18488.23,22077.94,32.03
2019-10-02T04:00+02:00,8943.31,18915.4,22834.26,32.95
2019-10-02T05:00+02:00,9030.72,19863.34,24036.19,35.1
2019-10-02T06:00+02:00,9170.19,22424.18,24910.94,48.61
2019-10-02T07:00+02:00,9227.15,24565.39,25591.55,52.79
2019-10-02T08:00+02:00,9227.96,24866.49,26005.57,52.63
2019-10-02T09:00+02:00,9224.02,24817.51,26951.45,51.75
2019-10-02T10:00+02:00,9146.7,24459.95,29042.9,50
2019-10-02T11:00+02:00,9059.08,23672.06,33159.39,48.04
2019-10-02T12:00+02:00,9123.25,23419.17,35851.77,41.4
2019-10-02T13:00+02:00,9143.09,23188.01,37108.33,36.58
2019-10-02T14:00+02:00,9155.94,22825.65,37087.5,35.22
2019-10-02T15:00+02:00,9176.56,23112.26,35262.21,34.92
2019-10-02T16:00+02:00,9186.91,23807.05,33020.32,35.17
2019-10-02T17:00+02:00,9194.08,24648.99,29774.43,40.49
2019-10-02T18:00+02:00,9210.52,25706.87,26936.39,48.01
2019-10-02T19:00+02:00,9201.58,25499.33,28080.1,51.61
2019-10-02T20:00+02:00,9065.83,24671.37,29864.56,48.47
2019-10-02T21:00+02:00,9017.52,22200.15,31722.2,40.21
2019-10-02T22:00+02:00,9039.85,20491.74,32670.11,35.05
2019-10-02T23:00+02:00,8964.07,18608.93,32599.1,31.8
2019-10-03T00:00+02:00,9075.34,17061.8,32435.96,26.21
2019-10-03T01:00+02:00,9094.83,16375.79,31868.42,26.41
2019-10-03T02:00+02:00,9108.48,16170.13,30439.24,25.3
2019-10-03T03:00+02:00,9097.67,16569.72,29284.94,25.35
2019-10-03T04:00+02:00,9111.47,16972.52,27661.93,26.43
2019-10-03T05:00+02:00,9099.19,18450.55,26113.13,29.31
2019-10-03T06:00+02:00,9125.83,20908.7,24588.33,35.32
2019-10-03T07:00+02:00,9184.92,22525.5,23346.26,42.98
2019-10-03T08:00+02:00,9240.04,23527.68,23920.36,49.92
2019-10-03T09:00+02:00,9286.88,23756.68,25042.6,47.89
2019-10-03T10:00+02:00,9293.55,23721.13,26708.12,46.8
2019-10-03T11:00+02:00,9286.67,24188.16,27532.7,47.61
2019-10-03T12:00+02:00,9274.19,24197.45,28079.27,42.93
2019-10-03T13:00+02:00,9277.48,22999.25,27734.26,37.82
2019-10-03T14:00+02:00,9276.26,22850.28,26789.14,36.74
2019-10-03T15:00+02:00,9275.47,23283.5,23818.69,36.86
2019-10-03T16:00+02:00,9267.77,24538.12,19160.72,40.4
2019-10-03T17:00+02:00,9274.71,24979.63,14755.84,47.93
2019-10-03T18:00+02:00,9278.41,25347.3,11316.66,51.23
2019-10-03T19:00+02:00,9275.86,25596.47,10758.13,55.06
2019-10-03T20:00+02:00,9271.27,25655.72,10472.03,53.53
2019-10-03T21:00+02:00,9260.81,25195.56,10487.83,48.06
2019-10-03T22:00+02:00,9259.26,24261.33,10522.78,45.59
2019-10-03T23:00+02:00,9260.57,22569.1,11177.33,35.93
2019-10-04T00:00+02:00,9263.65,21731.73,11609.37,37.49
2019-10-04T01:00+02:00,9267.06,21466.21,12536.24,34.96
2019-10-04T02:00+02:00,9228.81,21071.01,13699.34,33.79
2019-10-04T03:00+02:00,9283.06,20918.4,13541.33,32.9
2019-10-04T04:00+02:00,9288.21,21733.03,13552.04,32.59
2019-10-04T05:00+02:00,9280.32,22931.55,14331.61,33.5
2019-10-04T06:00+02:00,9296.75,25034.34,15282.94,43.33
2019-10-04T07:00+02:00,9290.48,25621.42,16851.9,48.77
2019-10-04T08:00+02:00,9299.01,25813.52,19284.61,50.06
2019-10-04T09:00+02:00,9306.16,25759.72,21871.25,49.87
2019-10-04T10:00+02:00,9304.4,25971.93,24085.01,48.71
2019-10-04T11:00+02:00,9288.1,25684.79,26642.06,48.72
2019-10-04T12:00+02:00,9273.07,25515.25,26908.58,49.41
2019-10-04T13:00+02:00,9280.68,25717.21,25690.73,47.78
2019-10-04T14:00+02:00,9273.15,25525.97,24283.63,45.35
2019-10-04T15:00+02:00,9264.91,25653.24,22538.14,47.93
2019-10-04T16:00+02:00,9264.48,26227.29,21745.32,49.49
2019-10-04T17:00+02:00,9265.54,26313.16,22259.7,50.05
2019-10-04T18:00+02:00,9250.39,26273.73,23438.86,50.27
2019-10-04T19:00+02:00,9237.46,25565.08,25267.86,53.52
2019-10-04T20:00+02:00,9233.49,25270.63,26508.28,49.22
2019-10-04T21:00+02:00,9224.07,23789.51,27105.06,40.5
2019-10-04T22:00+02:00,9173.86,22293.34,26566.19,35.87
2019-10-04T23:00+02:00,9180.38,20601.49,26385.24,34.35
2019-10-05T00:00+02:00,9228.07,19848.47,26333.29,28.3
2019-10-05T01:00+02:00,9249.32,19209.32,26440.48,32.17
2019-10-05T02:00+02:00,9250.68,18622.88,26398.09,29.28
2019-10-05T03:00+02:00,9192.96,18050.31,26839.6,28.24
2019-10-05T04:00+02:00,9126.05,17553.87,27244.21,27.33
2019-10-05T05:00+02:00,9124.28,18122.71,27406.79,28.39
2019-10-05T06:00+02:00,9170.55,18812.92,27200.33,29.3
