air_temp,albedo,azimuth,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,zenith,period_end,period
3,0.16,23,0,-2.2,0,0,0,0,0,69.5,1026.7,4.9,121,2019-04-01T00:15:00+02:00,PT15M
3,0.16,19,0,-2.3,0,0,0,0,0,70.2,1026.7,4.8,122,2019-04-01T00:30:00+02:00,PT15M
2,0.16,14,0,-2.4,0,0,0,0,0,71,1026.8,4.8,123,2019-04-01T00:45:00+02:00,PT15M
2,0.16,10,0,-2.5,0,0,0,0,0,71.7,1026.8,4.8,123,2019-04-01T01:00:00+02:00,PT15M
2,0.16,5,0,-2.6,0,0,0,0,0,72.3,1026.8,4.9,123,2019-04-01T01:15:00+02:00,PT15M
2,0.16,1,0,-2.7,0,0,0,0,0,72.7,1026.8,4.9,124,2019-04-01T01:30:00+02:00,PT15M
2,0.16,-4,0,-2.8,0,0,0,0,0,73,1026.8,5,123,2019-04-01T01:45:00+02:00,PT15M
1,0.16,-8,0,-2.8,0,0,0,0,0,73.4,1026.8,5.1,123,2019-04-01T02:00:00+02:00,PT15M
1,0.16,-13,0,-3,0,0,0,0,0,73.4,1026.8,5.2,123,2019-04-01T02:15:00+02:00,PT15M
1,0.16,-17,0,-3.2,0,0,0,0,0,73.1,1026.8,5.3,122,2019-04-01T02:30:00+02:00,PT15M
1,0.16,-21,0,-3.3,0,0,0,0,0,72.9,1026.8,5.3,121,2019-04-01T02:45:00+02:00,PT15M
1,0.16,-26,0,-3.5,0,0,0,0,0,72.6,1026.8,5.4,121,2019-04-01T03:00:00+02:00,PT15M
1,0.16,-30,0,-3.7,0,0,0,0,0,72.4,1026.7,5.4,119,2019-04-01T03:15:00+02:00,PT15M
1,0.16,-34,0,-3.8,0,0,0,0,0,72.4,1026.7,5.5,118,2019-04-01T03:30:00+02:00,PT15M
0,0.16,-38,0,-4,0,0,0,0,0,72.3,1026.7,5.6,117,2019-04-01T03:45:00+02:00,PT15M
