Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-04-01T00:00+02:00,9224.64,19080.41,21653.78,31.06
2019-04-01T01:00+02:00,9241.68,18182.66,20836.8,29.96
2019-04-01T02:00+02:00,9248.41,18234.93,20615.23,31.07
2019-04-01T03:00+02:00,9266.19,18835.58,20003.57,31.08
2019-04-01T04:00+02:00,9275.09,19829.7,19663.24,31.09
2019-04-01T05:00+02:00,9343.49,22910.29,19520.67,37.22
2019-04-01T06:00+02:00,9375.84,26285.22,19812.88,47.08
2019-04-01T07:00+02:00,9382.53,26974.23,21112.43,56.95
2019-04-01T08:00+02:00,9421.42,27193.07,24953.68,53.56
2019-04-01T09:00+02:00,9409.74,26895.1,28735.24,45.95
2019-04-01T10:00+02:00,9391.27,26700.74,35176.88,42.2
2019-04-01T11:00+02:00,9363.32,25686.86,40928.55,39.11
2019-04-01T12:00+02:00,9377.25,24611.59,43676.44,34.3
2019-04-01T13:00+02:00,9355.74,24362.2,44979.81,32.29
2019-04-01T14:00+02:00,9324.4,23649.48,44873.9,31.1
2019-04-01T15:00+02:00,9274.98,22930.8,42704.99,31.55
2019-04-01T16:00+02:00,9280.13,23307.49,38025.01,31.8
2019-04-01T17:00+02:00,9341.36,25233.64,31634.01,35.74
2019-04-01T18:00+02:00,9325.16,26541.23,24913.79,43.06
2019-04-01T19:00+02:00,9342.02,27548.05,21494.27,45.1
2019-04-01T20:00+02:00,9331.46,27583.28,24764.68,45.06
2019-04-01T21:00+02:00,9329.89,26487.37,29177.02,39.41
2019-04-01T22:00+02:00,9354.47,25492.81,30989.88,35.8
2019-04-01T23:00+02:00,9350.52,22921.05,31720.78,30.65
2019-04-02T00:00+02:00,9342.04,21923.81,31864.68,29.11
2019-04-02T01:00+02:00,9349.86,21063.3,31472.84,26.93
2019-04-02T02:00+02:00,9298.02,21009.4,30822.6,25.43
2019-04-02T03:00+02:00,9143.5,21154.3,29534.7,25.16
2019-04-02T04:00+02:00,9125.38,22053.8,28875.24,27.52
2019-04-02T05:00+02:00,9143.42,24709.2,28002.29,31.04
2019-04-02T06:00+02:00,9158.3,27338.7,28122.23,40.29
2019-04-02T07:00+02:00,9161.54,27673.44,28767.88,43.78
2019-04-02T08:00+02:00,9160.92,27677.46,31746.17,43.13
2019-04-02T09:00+02:00,9154.52,27504.03,34673.99,39.53
2019-04-02T10:00+02:00,9144.21,27589.19,38680.06,36.68
2019-04-02T11:00+02:00,9132.98,26434.31,42577.26,31.39
2019-04-02T12:00+02:00,9115.28,24590.47,45363.15,29
2019-04-02T13:00+02:00,9098.66,23731.78,47103.28,29.09
2019-04-02T14:00+02:00,9087.4,23604.08,47038.68,29.49
2019-04-02T15:00+02:00,9073.71,23641.87,45704.66,29.09
2019-04-02T16:00+02:00,9068.72,24424.4,41072.34,30.1
2019-04-02T17:00+02:00,9086.8,26125.02,35597.97,35.08
2019-04-02T18:00+02:00,9086.92,27168.1,29590.36,40.73
2019-04-02T19:00+02:00,9082.47,27897.24,27284.72,43.15
2019-04-02T20:00+02:00,9069.58,27891.65,27817.66,42.74
2019-04-02T21:00+02:00,9089.08,27240.96,28523.7,38.2
2019-04-02T22:00+02:00,9102.47,26597.96,28297.23,35.08
2019-04-02T23:00+02:00,9097.48,26065.56,26751.48,30.69
2019-04-03T00:00+02:00,9095.73,26128.45,25895.13,31.9
2019-04-03T01:00+02:00,9110.31,25835.44,24654.73,31.5
2019-04-03T02:00+02:00,9134.79,25122.56,22968.32,31.08
2019-04-03T03:00+02:00,9294.72,25807.68,21101.77,31.19
2019-04-03T04:00+02:00,9322.87,26914.51,18848.33,32.57
2019-04-03T05:00+02:00,9337.68,28725.93,16953.36,35
2019-04-03T06:00+02:00,9341.08,31447.1,15997.56,42.98
2019-04-03T07:00+02:00,9348.74,33496.36,15876.03,48.25
2019-04-03T08:00+02:00,9375.54,34387.82,16940.89,52.42
2019-04-03T09:00+02:00,9374.97,34770.59,18554.96,54.72
2019-04-03T10:00+02:00,9355.7,34771.73,21656.45,49.47
2019-04-03T11:00+02:00,9360.01,34875.25,24854,47.99
2019-04-03T12:00+02:00,9350.3,34821.73,26997.54,45.01
2019-04-03T13:00+02:00,9340.03,34769.57,28237.68,43.11
2019-04-03T14:00+02:00,9332.63,34778.41,28307.89,41.77
2019-04-03T15:00+02:00,9336.13,34619.81,26533.9,41.48
2019-04-03T16:00+02:00,9344.43,34926.34,23223.85,41.73
2019-04-03T17:00+02:00,9337.54,34846.19,19186,42.68
2019-04-03T18:00+02:00,9334.59,34986.9,16162.16,45.44
2019-04-03T19:00+02:00,9333.8,35012.95,16192.65,51.32
2019-04-03T20:00+02:00,9340.58,35037.76,17817.38,52.34
2019-04-03T21:00+02:00,9347.83,33381.69,19579.32,44.08
2019-04-03T22:00+02:00,9367.35,31522.45,19951.79,39.1
2019-04-03T23:00+02:00,9369.26,30191.9,20469.02,36.58
2019-04-04T00:00+02:00,9380.94,29541.33,19993.62,35.6
2019-04-04T01:00+02:00,9395.62,29234.34,18868.16,35.12
2019-04-04T02:00+02:00,9394.77,28789.81,18093.83,33
2019-04-04T03:00+02:00,9407.14,28721.35,16511.53,32.59
2019-04-04T04:00+02:00,9406.88,30279.51,14928.36,34.13
2019-04-04T05:00+02:00,9397.13,32551.46,13886.16,36.86
2019-04-04T06:00+02:00,9398.68,34065.13,13688.09,44.67
2019-04-04T07:00+02:00,9403.23,35336.47,14729.34,53.64
2019-04-04T08:00+02:00,9408,35811.45,16497.5,59.86
2019-04-04T09:00+02:00,9401.3,35871.98,18442.54,46.92
2019-04-04T10:00+02:00,9391.97,35464.82,21305.8,48
2019-04-04T11:00+02:00,9383.95,35397,24144.52,47
2019-04-04T12:00+02:00,9296.29,35241.84,25840.54,40.85
2019-04-04T13:00+02:00,9251.1,34390.66,26970.04,41.32
2019-04-04T14:00+02:00,9133.15,33724.59,27378.32,38.59
2019-04-04T15:00+02:00,9137.8,33443.42,26338.42,38.3
2019-04-04T16:00+02:00,9141.92,33816.28,23886.06,38.1
