air_temp,albedo,azimuth,cloud_opacity,dewpoint_temp,dni,ghi,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,zenith,period_end,period
19,0.18,18,0,13.3,0,0,0,68.1,1014.4,5,102,2019-07-01T00:15:00+02:00,PT15M
19,0.18,14,0,13.3,0,0,0,69.6,1014.4,4.9,103,2019-07-01T00:30:00+02:00,PT15M
19,0.18,11,0,13.2,0,0,0,71.2,1014.4,4.8,103,2019-07-01T00:45:00+02:00,PT15M
18,0.18,7,5.2,13.2,0,0,0,72.7,1014.4,4.6,104,2019-07-01T01:00:00+02:00,PT15M
18,0.18,4,21.5,13.2,0,0,0,74.1,1014.4,4.5,104,2019-07-01T01:15:00+02:00,PT15M
18,0.18,0,37.8,13.1,0,0,0,75.1,1014.4,4.2,104,2019-07-01T01:30:00+02:00,PT15M
17,0.18,-3,35.7,13,0,0,0,76.2,1014.4,4,104,2019-07-01T01:45:00+02:00,PT15M
17,0.18,-7,28,12.9,0,0,0,77.2,1014.5,3.7,104,2019-07-01T02:00:00+02:00,PT15M
17,0.18,-10,1.5,12.9,0,0,0,78.3,1014.4,3.5,104,2019-07-01T02:15:00+02:00,PT15M
17,0.18,-14,0,12.9,0,0,0,79.3,1014.4,3.2,103,2019-07-01T02:30:00+02:00,PT15M
16,0.18,-17,0,12.8,0,0,0,80.3,1014.3,3,102,2019-07-01T02:45:00+02:00,PT15M
16,0.18,-21,0,12.8,0,0,0,81.3,1014.2,2.7,102,2019-07-01T03:00:00+02:00,PT15M
16,0.18,-24,0,12.8,0,0,0,82,1014.2,2.7,101,2019-07-01T03:15:00+02:00,PT15M
16,0.18,-27,0,12.7,0,0,0,82.4,1014.2,2.8,100,2019-07-01T03:30:00+02:00,PT15M
16,0.18,-31,0,12.7,0,0,0,82.8,1014.2,3,99,2019-07-01T03:45:00+02:00,PT15M
16,0.18,-34,0,12.6,0,0,0,83.2,1014.3,3.2,98,2019-07-01T04:00:00+02:00,PT15M
15,0.18,-37,0,12.6,0,0,0,83.6,1014.3,3.3,96,2019-07-01T04:15:00+02:00,PT15M
15,0.18,-40,0,12.6,0,0,0,84,1014.2,3.4,95,2019-07-01T04:30:00+02:00,PT15M
15,0.18,-43,0,12.5,0,0,0,84.4,1014.2,3.5,93,2019-07-01T04:45:00+02:00,PT15M
15,0.18,-47,0,12.5,0,0,0,84.8,1014.2,3.6,92,2019-07-01T05:00:00+02:00,PT15M
15,0.18,-50,0,12.5,0,1,0,84.7,1014.2,3.6,90,2019-07-01T05:15:00+02:00,PT15M
15,0.18,-52,0,12.5,17,12,0,84,1014.3,3.6,88,2019-07-01T05:30:00+02:00,PT15M
15,0.18,-55,15.9,12.5,17,24,0,83.3,1014.4,3.6,86,2019-07-01T05:45:00+02:00,PT15M
15,0.18,-58,54.8,12.5,0,22,0,82.7,1014.4,3.6,84,2019-07-01T06:00:00+02:00,PT15M
16,0.18,-61,67.9,12.5,0,25,0,81.3,1014.5,3.7,82,2019-07-01T06:15:00+02:00,PT15M
16,0.18,-64,52.8,12.6,0,50,0,79.4,1014.4,3.7,80,2019-07-01T06:30:00+02:00,PT15M
17,0.18,-67,55.4,12.6,0,62,0,77.6,1014.4,3.8,78,2019-07-01T06:45:00+02:00,PT15M
17,0.18,-70,47.4,12.7,0,91,0,75.7,1014.4,3.8,76,2019-07-01T07:00:00+02:00,PT15M
17,0.18,-72,37.9,12.6,1,129,0,73.4,1014.4,4,74,2019-07-01T07:15:00+02:00,PT15M
18,0.18,-75,29.4,12.5,53,172,0,70.7,1014.5,4.2,72,2019-07-01T07:30:00+02:00,PT15M
