Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-07-01T00:00+02:00,7561.09,14822.82,19530.57,28.98
2019-07-01T01:00+02:00,7563.33,14473.73,18090.59,26.23
2019-07-01T02:00+02:00,7574.02,14629.69,17652.1,25.04
2019-07-01T03:00+02:00,7581.26,14780.92,17285.3,24.94
2019-07-01T04:00+02:00,7582.97,15274.12,16752.89,26.04
2019-07-01T05:00+02:00,7586.03,16375.76,17244.57,27.14
2019-07-01T06:00+02:00,7598.3,18112.53,19261.05,41.93
2019-07-01T07:00+02:00,7589.67,18790.19,21992.36,53.1
2019-07-01T08:00+02:00,7577.06,19613.86,25821.62,52.85
2019-07-01T09:00+02:00,7555.27,19677.68,31960.28,41.13
2019-07-01T10:00+02:00,7579.08,19468.25,39038.85,37.57
2019-07-01T11:00+02:00,7585.86,18664.42,44965.81,32.85
2019-07-01T12:00+02:00,7568.07,17249.44,48935.22,29.46
2019-07-01T13:00+02:00,7539.8,16923.21,51708.28,27.39
2019-07-01T14:00+02:00,7430.29,16913.87,52196.77,27.25
2019-07-01T15:00+02:00,7412.7,17200.29,50300.45,27
2019-07-01T16:00+02:00,7438.53,17412.02,46842.9,26.72
2019-07-01T17:00+02:00,7436.97,17765.15,43121.71,27.5
2019-07-01T18:00+02:00,7423.32,19259.79,39231.44,31.03
2019-07-01T19:00+02:00,7433.39,19942.12,35113.16,36.49
2019-07-01T20:00+02:00,7430.21,19717.44,31616.33,36.32
2019-07-01T21:00+02:00,7459.42,19723.18,27929.66,34.93
2019-07-01T22:00+02:00,7520.92,19813.71,25275.16,37.24
2019-07-01T23:00+02:00,7579.8,18710.43,25336.59,31.97
2019-07-02T00:00+02:00,7564.15,16138.2,25611.95,28.9
2019-07-02T01:00+02:00,7599.72,14634.87,25635.28,26.97
2019-07-02T02:00+02:00,7605.82,13787.8,25479.9,25.48
2019-07-02T03:00+02:00,7610.88,13693.9,25468.19,24.75
2019-07-02T04:00+02:00,7616.56,13747.4,25135.19,24.91
2019-07-02T05:00+02:00,7606.92,15498.49,25207.76,26.99
2019-07-02T06:00+02:00,7622.82,18606.54,27025.42,31
2019-07-02T07:00+02:00,7657.86,20252.69,31191.02,36.12
2019-07-02T08:00+02:00,7653.05,19246.15,37616.97,36.1
2019-07-02T09:00+02:00,7675.2,18294.34,42057.25,33.33
2019-07-02T10:00+02:00,7638.47,18576.19,45579.52,32.75
2019-07-02T11:00+02:00,7442.5,17934.39,47800.56,31.8
2019-07-02T12:00+02:00,7423.81,17489.44,49003.32,29.59
2019-07-02T13:00+02:00,7410.47,17028.89,49117.74,29.55
2019-07-02T14:00+02:00,7414.11,16643.18,48163.77,29.52
2019-07-02T15:00+02:00,7403.7,16959.27,46186.87,29.6
2019-07-02T16:00+02:00,7396.35,17913.15,43163.15,29.96
2019-07-02T17:00+02:00,7376.84,19069.1,38488.43,33.05
2019-07-02T18:00+02:00,7380.71,20104.26,33115.96,38.02
2019-07-02T19:00+02:00,7402.56,20778.79,27900.86,44
2019-07-02T20:00+02:00,7536.86,21861.43,23162.82,50.96
2019-07-02T21:00+02:00,7623.41,22366.92,19545.17,47.9
2019-07-02T22:00+02:00,7599.15,22068.81,18409.33,42.14
2019-07-02T23:00+02:00,7596.62,20716.45,18474,37.05
2019-07-03T00:00+02:00,7604.31,18248.82,18803.58,30.94
2019-07-03T01:00+02:00,7587.18,16655.45,19328.74,28.07
2019-07-03T02:00+02:00,7615.02,16065.22,19429.59,27.6
2019-07-03T03:00+02:00,7625.31,15667.94,19475.08,27.37
2019-07-03T04:00+02:00,7635.79,16129.33,19194.21,28.01
2019-07-03T05:00+02:00,7646.04,17428.62,19251.51,29.04
2019-07-03T06:00+02:00,7652.83,21656.34,20330.24,38.22
2019-07-03T07:00+02:00,7657.35,22572.34,22745.99,47.6
2019-07-03T08:00+02:00,7667.32,22241.14,28976.57,46.95
2019-07-03T09:00+02:00,7674.74,21656.95,35694.31,37.53
2019-07-03T10:00+02:00,7663.44,20081.62,40065.59,33.68
2019-07-03T11:00+02:00,7655.65,19360.05,42300.41,33.4
2019-07-03T12:00+02:00,7641.57,18188.47,43982.07,31.19
2019-07-03T13:00+02:00,7649.78,17148.42,44778.83,30.14
2019-07-03T14:00+02:00,7649.17,16718.03,44904.21,30.1
2019-07-03T15:00+02:00,7647.12,16362.19,43693.75,29.98
2019-07-03T16:00+02:00,7646.84,16876.67,41272.11,30.08
2019-07-03T17:00+02:00,7640.85,19082.68,36672.26,33
2019-07-03T18:00+02:00,7642.44,20403.51,31094.68,36.49
2019-07-03T19:00+02:00,7637.65,21497.11,25369.12,43.07
2019-07-03T20:00+02:00,7644.92,21945.43,21262.04,48.39
2019-07-03T21:00+02:00,7652.95,21814.75,19191.74,40.07
2019-07-03T22:00+02:00,7660.07,21728.82,19283.77,37.57
2019-07-03T23:00+02:00,7646.23,20493.59,20048.12,33.41
2019-07-04T00:00+02:00,7658.72,17231.25,20145.76,29.93
2019-07-04T01:00+02:00,7664.19,15993.33,19548.15,28.83
2019-07-04T02:00+02:00,7672,15984.03,18931.93,28.06
2019-07-04T03:00+02:00,7678.65,16186.51,18671.41,29.06
2019-07-04T04:00+02:00,7687.67,16410.66,18753.61,29.73
2019-07-04T05:00+02:00,7685.75,17230.48,19519.68,30.74
2019-07-04T06:00+02:00,7695.97,20404.64,21351,36.99
2019-07-04T07:00+02:00,7694.38,21300.01,24195.22,44.31
2019-07-04T08:00+02:00,7679.75,21306.83,30215.1,39.72
2019-07-04T09:00+02:00,7597.44,20955.89,37021.49,34.77
2019-07-04T10:00+02:00,7449.73,19684.54,41907.68,31.88
2019-07-04T11:00+02:00,7355.26,18880.52,45599.46,30.89
2019-07-04T12:00+02:00,7343.56,17644.01,47595.73,29.73
2019-07-04T13:00+02:00,7334.72,16889.16,48478.36,29.65
2019-07-04T14:00+02:00,7322.89,16597.07,48314.29,29.53
2019-07-04T15:00+02:00,7345.97,16686.08,46720.29,29.64
2019-07-04T16:00+02:00,7478.9,17793.21,43143.72,29.8
2019-07-04T17:00+02:00,7578.18,19591.66,37947.27,32.98
2019-07-04T18:00+02:00,7592.44,20789.82,32279.27,36.92
2019-07-04T19:00+02:00,7597.17,21619.57,27188.21,43.58
2019-07-04T20:00+02:00,7593.86,21751.51,23769.12,44.98
2019-07-04T21:00+02:00,7592.62,21271.55,22050.25,39.9
2019-07-04T22:00+02:00,7601.74,20480.9,21691.06,39.06
2019-07-04T23:00+02:00,7613.88,19280.74,22408.95,34.9
2019-07-05T00:00+02:00,7598.27,17237.98,22365.22,29.8
2019-07-05T01:00+02:00,7599.66,15750.38,22159.66,29
2019-07-05T02:00+02:00,7606.33,15030.15,22395.84,27.8
2019-07-05T03:00+02:00,7614.08,14839.98,22208.67,27.64
2019-07-05T04:00+02:00,7633.15,15402.27,21856.69,27.9
2019-07-05T05:00+02:00,7637.68,16353.02,21800.36,29.08
2019-07-05T06:00+02:00,7660.68,19023.72,22752.27,34.62
2019-07-05T07:00+02:00,7668.15,20733.4,24848.86,42.89
2019-07-05T08:00+02:00,7652.85,21051.87,28178.31,45.92
2019-07-05T09:00+02:00,7645.99,21268.96,32512.21,43.4
2019-07-05T10:00+02:00,7640.29,21220.21,36980.87,38
2019-07-05T11:00+02:00,7616.16,20378.97,41275.16,36.6
2019-07-05T12:00+02:00,7608.9,19011.51,45310.7,33.02
2019-07-05T13:00+02:00,7606.92,18448.25,46468.89,31.05
2019-07-05T14:00+02:00,7599.8,17823.74,46238.67,29.68
2019-07-05T15:00+02:00,7598.62,17877.62,44717.45,29.23
2019-07-05T16:00+02:00,7586.38,18592.52,40704,30.4
2019-07-05T17:00+02:00,7573.39,19295.11,34980.81,32.97
2019-07-05T18:00+02:00,7573.21,20989.13,28043.21,35.35
2019-07-05T19:00+02:00,7573.25,21186.16,21535.1,40.15
2019-07-05T20:00+02:00,7578.13,21183.06,16444.87,45.86
2019-07-05T21:00+02:00,7582.39,20912.37,13962.57,45.75
2019-07-05T22:00+02:00,7587.75,20570.14,12863.34,42.07
2019-07-05T23:00+02:00,7599.94,20179.87,12368.96,38.09
2019-07-06T00:00+02:00,7602.7,18574.01,12066.38,37.97
2019-07-06T01:00+02:00,7610.31,17278.69,11658.15,34.1
2019-07-06T02:00+02:00,7619.93,16635.39,11521.52,30.99
2019-07-06T03:00+02:00,7624.49,15643.79,11834.51,30.52
2019-07-06T04:00+02:00,7634.54,15428.38,12892.35,30.01
2019-07-06T05:00+02:00,7636.98,14292.01,14795.69,29.24
2019-07-06T06:00+02:00,7642.28,14401.12,17456.61,29.21
2019-07-06T07:00+02:00,7631.97,15366.27,21370.87,29.74
2019-07-06T08:00+02:00,7619.08,15594.28,26660.43,31.05
2019-07-06T09:00+02:00,7596.51,14707.65,33652.22,30.99
2019-07-06T10:00+02:00,7583.41,12827.53,40868,29.7
2019-07-06T11:00+02:00,7560.01,11443.42,46139.55,28.53
2019-07-06T12:00+02:00,7537.33,10794.51,48849.55,26.86
