air_temp,albedo,azimuth,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitation_rate,relative_humidity,surface_pressure,wind_direction_100m,wind_speed_100m,zenith,period_end,period
8,0.16,33,76.3,6.9,0,0,0,0,0,90.3,1028.2,260,8.2,147,2019-01-01T00:15:00+02:00,PT15M
8,0.16,27,76.3,6.8,0,0,0,0,0,90.3,1028,259,8.3,148,2019-01-01T00:30:00+02:00,PT15M
8,0.16,21,76.3,6.7,0,0,0,0,0,90.3,1027.7,258,8.4,149,2019-01-01T00:45:00+02:00,PT15M
8,0.16,14,78.3,6.6,0,0,0,0,0,90.3,1027.4,258,8.5,150,2019-01-01T01:00:00+02:00,PT15M
8,0.16,7,78.3,6.6,0,0,0,0,0,90.2,1027.2,257,8.6,150,2019-01-01T01:15:00+02:00,PT15M
8,0.16,0,71.2,6.5,0,0,0,0,0,90,1027,257,8.8,150,2019-01-01T01:30:00+02:00,PT15M
8,0.16,-7,76.3,6.4,0,0,0,0,0,89.9,1026.8,257,9,150,2019-01-01T01:45:00+02:00,PT15M
8,0.16,-14,78.7,6.3,0,0,0,0,0,89.7,1026.6,257,9.1,150,2019-01-01T02:00:00+02:00,PT15M
8,0.17,-20,84.1,6.3,0,0,0,0,0.1,89.6,1026.5,258,9.3,149,2019-01-01T02:15:00+02:00,PT15M
8,0.17,-27,83.8,6.2,0,0,0,0,0.1,89.6,1026.3,258,9.4,148,2019-01-01T02:30:00+02:00,PT15M
8,0.17,-33,76.6,6.2,0,0,0,0,0.1,89.6,1026.1,258,9.5,147,2019-01-01T02:45:00+02:00,PT15M
8,0.17,-38,69.3,6.1,0,0,0,0,0.1,89.6,1025.9,258,9.6,146,2019-01-01T03:00:00+02:00,PT15M
8,0.17,-44,76.2,6.1,0,0,0,0,0.1,89.4,1025.7,258,9.8,144,2019-01-01T03:15:00+02:00,PT15M
8,0.17,-49,76.3,6,0,0,0,0,0.1,88.9,1025.5,258,10,143,2019-01-01T03:30:00+02:00,PT15M
8,0.17,-54,77.8,5.9,0,0,0,0,0.1,88.5,1025.3,259,10.1,141,2019-01-01T03:45:00+02:00,PT15M
8,0.17,-58,79.5,5.8,0,0,0,0,0.1,88,1025.1,259,10.3,139,2019-01-01T04:00:00+02:00,PT15M
8,0.17,-63,71.2,5.7,0,0,0,0,0.1,87.8,1024.8,259,10.4,137,2019-01-01T04:15:00+02:00,PT15M
8,0.17,-67,60.7,5.7,0,0,0,0,0.1,87.8,1024.6,260,10.6,135,2019-01-01T04:30:00+02:00,PT15M
8,0.17,-70,64.6,5.6,0,0,0,0,0.1,87.8,1024.4,260,10.7,133,2019-01-01T04:45:00+02:00,PT15M
8,0.17,-74,68.5,5.6,0,0,0,0,0.1,87.8,1024.2,261,10.8,131,2019-01-01T05:00:00+02:00,PT15M
8,0.17,-77,76.2,5.6,0,0,0,0,0,87.8,1023.9,261,10.9,129,2019-01-01T05:15:00+02:00,PT15M
8,0.17,-81,76.3,5.6,0,0,0,0,0,87.7,1023.6,260,11,126,2019-01-01T05:30:00+02:00,PT15M
7,0.17,-84,76.1,5.5,0,0,0,0,0,87.7,1023.3,259,11.1,124,2019-01-01T05:45:00+02:00,PT15M
7,0.17,-87,75.5,5.5,0,0,0,0,0,87.7,1023.1,259,11.2,122,2019-01-01T06:00:00+02:00,PT15M
7,0.17,-90,75.8,5.5,0,0,0,0,0,87.9,1022.8,258,11.3,120,2019-01-01T06:15:00+02:00,PT15M
7,0.17,-93,76.3,5.5,0,0,0,0,0,88.2,1022.5,258,11.4,117,2019-01-01T06:30:00+02:00,PT15M
7,0.17,-96,76.3,5.5,0,0,0,0,0,88.5,1022.2,259,11.5,115,2019-01-01T06:45:00+02:00,PT15M
7,0.17,-99,76.3,5.5,0,0,0,0,0,88.8,1021.9,259,11.7,113,2019-01-01T07:00:00+02:00,PT15M
7,0.17,-102,76.3,5.5,0,0,0,0,0.1,89.2,1021.6,259,11.8,111,2019-01-01T07:15:00+02:00,PT15M
7,0.17,-104,76.3,5.6,0,0,0,0,0.1,89.6,1021.5,260,11.9,108,2019-01-01T07:30:00+02:00,PT15M
