Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-05-01T00:00+02:00,6637.69,20067.75,15969.02,38
2019-05-01T01:00+02:00,6633.6,19076.97,15482.07,35.2
2019-05-01T02:00+02:00,6641.47,18876.18,15505.25,32.64
2019-05-01T03:00+02:00,6644.18,18483.75,16010.76,31.16
2019-05-01T04:00+02:00,6645.38,17624.72,16609,29.56
2019-05-01T05:00+02:00,6618.75,16984.58,17195.78,29.72
2019-05-01T06:00+02:00,6578.67,15325.29,18500.13,27.51
2019-05-01T07:00+02:00,6556.24,14954.5,21590.08,27.6
2019-05-01T08:00+02:00,6622.37,15198.15,26113.11,30.9
2019-05-01T09:00+02:00,6559.21,15028.69,31172,29.4
2019-05-01T10:00+02:00,6593.73,14781.72,36050.76,28.88
2019-05-01T11:00+02:00,6581.12,13947.09,39836.86,28.65
2019-05-01T12:00+02:00,6550.43,13142.46,42061.24,21.12
2019-05-01T13:00+02:00,5893.79,12671.58,43469.98,4.9
2019-05-01T14:00+02:00,5408.88,12301.98,44242.4,-2.46
2019-05-01T15:00+02:00,5176.33,12262.19,43029.12,-2.82
2019-05-01T16:00+02:00,5326.1,12412.33,40383.02,1.98
2019-05-01T17:00+02:00,5971.83,13189.25,36173.86,19.61
2019-05-01T18:00+02:00,6452.4,15363.16,30456.1,29.65
2019-05-01T19:00+02:00,6557.24,16873.59,25361.61,34.51
2019-05-01T20:00+02:00,6622.14,18552.11,22657,37.25
2019-05-01T21:00+02:00,6629.32,18509.85,22559.55,33.2
2019-05-01T22:00+02:00,6628.53,18421.65,22614.22,35.18
2019-05-01T23:00+02:00,6620.35,17448.05,22692.79,29.96
2019-05-02T00:00+02:00,6605.88,17172.11,22675.78,31.18
2019-05-02T01:00+02:00,6586.34,15389.23,23290.94,27.67
2019-05-02T02:00+02:00,6602.15,14641.97,24087.3,27.21
2019-05-02T03:00+02:00,6616.06,14355.83,24646.76,25.71
2019-05-02T04:00+02:00,6641.1,14494.13,25315.11,26.97
2019-05-02T05:00+02:00,6643.31,18398.44,26032.37,31.93
2019-05-02T06:00+02:00,6641.39,20495.03,27267.74,41.75
2019-05-02T07:00+02:00,6647.67,21372.13,29922.4,45.52
2019-05-02T08:00+02:00,6646.3,21609.17,33691.24,47.18
2019-05-02T09:00+02:00,6607.53,21728.43,38021.95,43.3
2019-05-02T10:00+02:00,6461.2,21684.89,42977.3,39.7
2019-05-02T11:00+02:00,6374.37,21707.37,47430.71,37.32
2019-05-02T12:00+02:00,6270.58,20289.9,49779.03,31.42
2019-05-02T13:00+02:00,6254.29,19993.11,49970.35,31.9
2019-05-02T14:00+02:00,6207.23,20178.55,48782.17,34.32
2019-05-02T15:00+02:00,6245.73,20373.34,45543.84,37
2019-05-02T16:00+02:00,6241.38,21173.74,41956.59,37.48
2019-05-02T17:00+02:00,6254.51,21799.41,37615.49,40.41
2019-05-02T18:00+02:00,6254.71,22395.15,32528.04,45.98
2019-05-02T19:00+02:00,6519.15,22648.16,29067.31,47.18
2019-05-02T20:00+02:00,6630.03,22320.32,27810.15,47.38
2019-05-02T21:00+02:00,6627.2,21771.51,28541.77,45.66
2019-05-02T22:00+02:00,6629.08,21547.8,29152.77,44.72
2019-05-02T23:00+02:00,6608.92,20529.38,28807.82,41.71
2019-05-03T00:00+02:00,6605.87,19542.73,28626.48,33.29
2019-05-03T01:00+02:00,6598.21,18987.83,27854.63,34.9
2019-05-03T02:00+02:00,6605.6,18765.72,26989.7,33.6
2019-05-03T03:00+02:00,6614.68,19255.98,26112.03,32.48
2019-05-03T04:00+02:00,6618.19,20223.92,25686.74,33.1
2019-05-03T05:00+02:00,6627.88,21889.86,25333.32,35.96
2019-05-03T06:00+02:00,6627.88,23525.11,25553.39,41.95
2019-05-03T07:00+02:00,6628.55,24273.96,25590.86,46.99
2019-05-03T08:00+02:00,6613.41,24633.19,28745.46,50.1
2019-05-03T09:00+02:00,6610.29,24014.82,33750.9,47.94
2019-05-03T10:00+02:00,6635.69,23924.63,36526.54,46.9
2019-05-03T11:00+02:00,6621.18,24319.04,38156.2,46.47
2019-05-03T12:00+02:00,6608.98,23961.09,40466.99,43.7
2019-05-03T13:00+02:00,6584.02,23113.42,41843.23,39.84
2019-05-03T14:00+02:00,6605.3,22740.9,41793.02,36.66
2019-05-03T15:00+02:00,6606.75,22605.84,41144.9,35.61
2019-05-03T16:00+02:00,6606.25,23208.28,39195.89,35.47
2019-05-03T17:00+02:00,6614.53,24133.63,36146.33,38.89
2019-05-03T18:00+02:00,6627.64,24150.02,31272.24,42.01
2019-05-03T19:00+02:00,6650.14,24547.91,26710.07,43.96
2019-05-03T20:00+02:00,6648.89,24923.03,23978.38,44.57
2019-05-03T21:00+02:00,6606.66,24666.17,23358.04,44.92
2019-05-03T22:00+02:00,6546.77,23313.89,23534.39,45.37
2019-05-03T23:00+02:00,6414.56,22615.25,23016.88,42.01
2019-05-04T00:00+02:00,6375.19,21638.98,21959.26,39.72
2019-05-04T01:00+02:00,6369.88,21297.71,22288.42,36.77
2019-05-04T02:00+02:00,6333.94,20275.31,22563.75,35.56
2019-05-04T03:00+02:00,6385.2,20042.09,22890.47,34.9
2019-05-04T04:00+02:00,6337.21,19647.35,23299.91,34.98
2019-05-04T05:00+02:00,6289.01,19299.38,23632.63,34.51
2019-05-04T06:00+02:00,6389.25,19439.12,23486.32,35.59
2019-05-04T07:00+02:00,6530.71,19540.03,25273.51,40.87
2019-05-04T08:00+02:00,6572.09,19676.36,27555.33,45
2019-05-04T09:00+02:00,6616.88,19927.96,30177.53,45.07
2019-05-04T10:00+02:00,6631.55,19715.34,32130.45,43.62
2019-05-04T11:00+02:00,6641.72,20344.02,32490.22,42.65
2019-05-04T12:00+02:00,6626.68,20347.26,33412.26,40.56
2019-05-04T13:00+02:00,6525.91,18938.14,34157.25,36.98
2019-05-04T14:00+02:00,6377.64,17510.75,35054.47,34.95
2019-05-04T15:00+02:00,6419.54,16842.68,34856.41,33
2019-05-04T16:00+02:00,6484.31,16632.25,33910.06,32.68
2019-05-04T17:00+02:00,6567.08,17391.58,31583.14,34.11
2019-05-04T18:00+02:00,6683.92,20462.34,27134.19,41.4
2019-05-04T19:00+02:00,6694.41,21295.59,21952.9,44.87
2019-05-04T20:00+02:00,6700.7,21610.77,18505.05,44.81
2019-05-04T21:00+02:00,6683.24,21597.37,18307.03,45.5
2019-05-04T22:00+02:00,6689.96,21537.95,18150.66,45.92
2019-05-04T23:00+02:00,6617.19,20389,19411.82,44.3
2019-05-05T00:00+02:00,6556.62,18391.88,20113.96,35.19
2019-05-05T01:00+02:00,6561.4,17145.95,20825.8,32.02
2019-05-05T02:00+02:00,6569.15,16439.83,20658.08,29.04
2019-05-05T03:00+02:00,6581.28,16318.55,19889.96,28.9
2019-05-05T04:00+02:00,6646.52,16713.7,18646.5,29.04
2019-05-05T05:00+02:00,6675.01,16544.74,18354.67,27.94
2019-05-05T06:00+02:00,6677.37,16744.25,18688.59,28.05
2019-05-05T07:00+02:00,6640.8,16623.41,20847.98,29.01
2019-05-05T08:00+02:00,6681.45,16992.37,23904.5,30.7
2019-05-05T09:00+02:00,6676.55,17309.23,29227.09,30.29
2019-05-05T10:00+02:00,6612.75,16954.49,33097.61,28.46
2019-05-05T11:00+02:00,6651.94,17049.67,34996.49,28.73
2019-05-05T12:00+02:00,6646.97,17074.4,36105.79,28.09
2019-05-05T13:00+02:00,6566.37,15818.82,35194.36,26.4
2019-05-05T14:00+02:00,6589.21,14935.34,35113.92,16.12
2019-05-05T15:00+02:00,6525.16,14726.92,33898.83,15.71
2019-05-05T16:00+02:00,6542.62,15280.36,31883.81,21.72
2019-05-05T17:00+02:00,6658.12,17337.26,28973.9,30.7
2019-05-05T18:00+02:00,6668.61,19476.55,24971.2,32.44
2019-05-05T19:00+02:00,6678.55,21515.01,20996.52,38.47
2019-05-05T20:00+02:00,6683.03,21977.12,18647.04,41.32
2019-05-05T21:00+02:00,6678.01,22145.44,18907.89,41.31
2019-05-05T22:00+02:00,6669.84,22225.25,19913.97,42.34
2019-05-05T23:00+02:00,6672.23,21501.41,20321.31,39.71
2019-05-06T00:00+02:00,6648.56,20145.29,21225.21,37.9
2019-05-06T01:00+02:00,6664.76,19721.11,22280.48,34.99
2019-05-06T02:00+02:00,6667.95,19662.48,23459.82,34.92
2019-05-06T03:00+02:00,6666.18,19642.45,24186.4,33.34
2019-05-06T04:00+02:00,6667.86,20876.7,24675.44,33.07
2019-05-06T05:00+02:00,6666.04,23281.92,24215.35,36.35
2019-05-06T06:00+02:00,6677.69,25479.16,24192.64,45.85
2019-05-06T07:00+02:00,6675.05,26451.74,25922.58,51.63
2019-05-06T08:00+02:00,6657.65,26547.66,29945.89,48.84
2019-05-06T09:00+02:00,6626.89,25983.94,37147.32,45.22
2019-05-06T10:00+02:00,6662.33,26372.12,40647.38,44.75
2019-05-06T11:00+02:00,6665.45,26624.78,40171.48,45.04
2019-05-06T12:00+02:00,6661.99,26712.83,39783.05,44.4
2019-05-06T13:00+02:00,6659.09,27115.35,39296.96,44.19
2019-05-06T14:00+02:00,6668.48,27032.31,38593.25,42.08
2019-05-06T15:00+02:00,6659.76,27297.68,37288.64,41.09
2019-05-06T16:00+02:00,6659.4,27648.34,34957.84,41.16
2019-05-06T17:00+02:00,6657.31,28951.82,30564.1,43.87
